City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Darlowo,PL,2021-05-16 20:32:44,54.421,16.4107,51.01,100,40,7.74
115,Nishihara,JP,2021-05-16 20:32:03,26.1842,127.7558,78.8,89,75,11.5
116,Morro Da Fumaca,BR,2021-05-16 20:32:44,-28.6508,-49.21,62.2,93,83,3.2
117,Mangaratiba,BR,2021-05-16 20:32:44,-22.9597,-44.0406,73.4,68,0,5.75
118,Pineville,US,2021-05-16 20:32:45,31.3224,-92.4343,82.4,57,40,12.66
119,Mount Isa,AU,2021-05-16 20:32:45,-20.7333,139.5,55.4,33,0,6.91
120,College,US,2021-05-16 20:27:51,64.8569,-147.8028,57.2,51,75,10.36
121,Rio Grande,BR,2021-05-16 20:31:40,-32.035,-52.0986,62.6,63,0,6.91
122,Brae,GB,2021-05-16 20:31:05,60.3964,-1.353,46.4,87,90,11.5
123,Straumen,NO,2021-05-16 20:32:45,63.8709,11.2999,53.6,58,75,11.5
124,Kimbe,PG,2021-05-16 20:32:45,-5.5502,150.1429,78.55,88,93,3.94
125,New Norfolk,AU,2021-05-16 20:30:19,-42.7826,147.0587,45.0,79,59,1.99
126,Egvekinot,RU,2021-05-16 20:32:46,66.3167,-179.1667,25.77,87,46,2.35
127,Port Alfred,ZA,2021-05-16 20:29:53,-33.5906,26.891,59.65,68,30,18.72
128,Beloha,MG,2021-05-16 20:31:14,-25.1667,45.05,72.27,58,52,3.2
129,Yatou,CN,2021-05-16 20:32:46,37.15,122.3833,56.84,66,100,9.89
130,Itapaci,BR,2021-05-16 20:32:47,-14.9508,-49.5494,75.52,50,100,2.91
131,Port Lincoln,AU,2021-05-16 20:31:25,-34.7333,135.8667,57.79,66,100,5.08
132,Mount Gambier,AU,2021-05-16 20:30:30,-37.8333,140.7667,48.2,100,75,5.75
133,Lagunas,PE,2021-05-16 20:32:47,-5.2269,-75.6753,79.14,92,94,1.07
134,Clyde River,CA,2021-05-16 20:30:49,70.4692,-68.5914,15.8,79,1,6.91
135,Cairns,AU,2021-05-16 20:32:47,-16.9167,145.7667,69.8,64,4,12.66
136,Longyearbyen,SJ,2021-05-16 20:30:04,78.2186,15.6401,23.0,68,20,8.05
137,Kieta,PG,2021-05-16 20:32:48,-6.2167,155.6333,81.68,78,100,6.08
138,Husavik,IS,2021-05-16 20:31:46,66.0449,-17.3389,35.6,64,75,13.8
139,Bambanglipuro,ID,2021-05-16 20:32:48,-7.95,110.2833,76.12,85,59,5.37
140,Dongsheng,CN,2021-05-16 20:32:09,39.8161,109.9776,51.35,28,35,7.52
141,Lorengau,PG,2021-05-16 20:30:07,-2.0226,147.2712,82.51,78,100,10.02
142,Hirara,JP,2021-05-16 20:32:48,24.8,125.2833,79.86,88,100,18.5
143,Luwuk,ID,2021-05-16 20:32:49,-0.9516,122.7875,77.92,92,100,6.71
144,Hambantota,LK,2021-05-16 20:32:49,6.1241,81.1185,80.58,80,88,8.63
145,Esperance,AU,2021-05-16 20:29:58,-33.8667,121.9,53.6,71,100,13.8
146,Porto Velho,BR,2021-05-16 20:32:49,-8.7619,-63.9039,87.8,55,40,10.36
147,Miri,MY,2021-05-16 20:32:50,4.4148,114.0089,80.6,83,40,3.44
148,Havre,FR,2021-05-16 20:31:42,49.5833,0.3333,53.6,93,90,25.32
149,Cockburn Town,TC,2021-05-16 20:28:13,21.4612,-71.1419,86.0,62,40,8.05
150,Nipawin,CA,2021-05-16 20:28:20,53.3668,-104.0009,66.2,34,1,6.91
