City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Healdsburg,US,78.1,scattered clouds,38.6105,-122.8692,Best Western Dry Creek Inn
406,Saint-Pierre,RE,71.24,few clouds,-21.3393,55.4781,Lindsey Hôtel
409,Santa Cruz Cabralia,BR,75.43,clear sky,-16.2781,-39.0247,Portobali Hotel
416,Xuddur,SO,72.57,scattered clouds,4.1213,43.8894,Banjanay Hotel
417,Waddan,LY,70.92,clear sky,29.1614,16.139,محل الشريف محمد العايب
418,Bowen,AU,72.72,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
419,New Britain,US,80.26,clear sky,41.6612,-72.7795,Fairfield Inn & Suites by Marriott Plainville
423,Batticaloa,LK,81.23,overcast clouds,7.7102,81.6924,Grand Star Guest House
424,Osuna,ES,72.82,broken clouds,37.2377,-5.1075,Hospedería del Monasterio
425,Cockburn Town,TC,77.94,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
426,Ambunti,PG,80.62,overcast clouds,-4.2365,142.8448,Ambunti Lodge
430,Palmer,US,81.21,scattered clouds,42.1584,-72.3287,Wedgewood Motel
431,Trairi,BR,78.58,broken clouds,-3.2778,-39.2689,janelas do mar
432,Soeng Sang,TH,82.0,overcast clouds,14.4264,102.4606,ปาณิสรา รีสอร์ท
435,Broome,US,84.58,clear sky,42.2506,-75.833,Chenango Valley State Park
436,Palauig,PH,83.34,light rain,15.435,119.9045,Myhousebythesea
437,Puerto Lopez,CO,79.92,broken clouds,4.0845,-72.956,Resguardo Indigena Maguare
438,Taperoa,BR,73.85,scattered clouds,-7.2075,-36.8267,Construir material de construção
439,Sechura,PE,71.98,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
447,Bhuj,IN,82.0,few clouds,23.2667,69.6667,Regenta Resort Bhuj
449,Timmins,CA,72.23,light rain,48.4669,-81.3331,The Senator Hotel & Conference Centre
452,Aguas Belas,BR,70.79,broken clouds,-9.1114,-37.1231,Hotel Sertão
454,Jalu,LY,73.78,clear sky,29.0331,21.5482,صاحبة الفخامة
456,Cacule,BR,71.49,clear sky,-14.5033,-42.2222,Radar Palace Hotel
457,Vao,NC,71.82,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
458,Oistins,BB,80.6,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
461,Nabire,ID,79.32,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
462,Nishihara,JP,82.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
464,Pacific Grove,US,72.01,broken clouds,36.6177,-121.9166,Lovers Point Inn
466,Bilma,NE,88.09,clear sky,18.6853,12.9164,Expeditions Ténére voyages
467,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
468,Haapiti,PF,87.53,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
