City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
183,Cap Malheureux,-19.9842,57.6142,73.67,67,26,23.04,MU,scattered clouds,2021-05-21 23:01:07
184,Gobabis,-22.45,18.9667,53.53,50,3,12.5,NA,clear sky,2021-05-21 23:03:40
185,Barrow,71.2906,-156.7887,30.22,86,90,20.71,US,overcast clouds,2021-05-21 23:03:41
186,Keti Bandar,24.1447,67.4497,83.84,79,67,16.75,PK,broken clouds,2021-05-21 23:03:41
187,Kokoda,-8.8785,147.7407,80.78,82,94,2.59,PG,overcast clouds,2021-05-21 23:03:41
188,Portland,45.5234,-122.6762,70.95,55,75,1.99,US,broken clouds,2021-05-21 23:03:41
189,Westport,41.1415,-73.3579,78.35,54,1,8.93,US,clear sky,2021-05-21 23:03:05
190,Ostersund,63.1792,14.6357,45.05,76,40,5.75,SE,scattered clouds,2021-05-21 23:03:42
191,Grants,35.1473,-107.8514,64.63,42,75,19.57,US,broken clouds,2021-05-21 23:03:42
192,Gat,31.61,34.7642,68.92,87,0,3.58,IL,clear sky,2021-05-21 23:03:42
193,Comodoro Rivadavia,-45.8667,-67.5,52.34,96,100,3.27,AR,overcast clouds,2021-05-21 23:01:28
194,Maidens,55.3338,-4.8147,45.55,78,100,6.89,GB,light rain,2021-05-21 23:03:42
195,Raudeberg,61.9875,5.1352,47.07,86,87,11.16,NO,overcast clouds,2021-05-21 23:03:43
196,Bilibino,68.0546,166.4372,33.76,93,100,2.86,RU,light rain,2021-05-21 23:03:43
197,Saint-Philippe,-21.3585,55.7679,71.15,70,84,14.5,RE,broken clouds,2021-05-21 23:03:43
198,Oshnaviyeh,37.0397,45.0983,63.21,32,3,3.47,IR,clear sky,2021-05-21 23:03:43
199,Fort Nelson,58.8053,-122.7002,69.94,21,20,5.12,CA,few clouds,2021-05-21 23:00:11
200,Waingapu,-9.6567,120.2641,76.82,83,62,5.95,ID,broken clouds,2021-05-21 23:03:44
201,Paraiso,9.8383,-83.8656,74.26,93,98,3.71,CR,light rain,2021-05-21 23:03:44
202,Canico,32.6333,-16.85,66.83,78,20,13.82,PT,few clouds,2021-05-21 23:03:44
203,Asfi,32.2994,-9.2372,67.87,69,78,19.17,MA,broken clouds,2021-05-21 23:03:45
204,Labuhan,-6.8844,112.2051,76.6,88,15,6.35,ID,few clouds,2021-05-21 23:03:45
205,Hasaki,35.7333,140.8333,66.6,84,100,16.15,JP,moderate rain,2021-05-21 23:03:45
206,Tessalit,20.1986,1.0114,90.1,25,83,15.32,ML,broken clouds,2021-05-21 23:03:45
207,Vaxjo,56.8777,14.8091,45.72,100,90,2.3,SE,overcast clouds,2021-05-21 23:03:46
208,Kushima,31.4583,131.2333,60.12,84,100,6.96,JP,overcast clouds,2021-05-21 23:03:46
209,Itum-Kale,42.7356,45.5758,68.68,53,93,9.06,RU,overcast clouds,2021-05-21 23:03:46
210,Quatre Cocos,-20.2078,57.7625,71.71,69,38,19.57,MU,light rain,2021-05-21 23:03:46
211,Marystown,47.1666,-55.1483,45.34,89,35,9.53,CA,scattered clouds,2021-05-21 23:03:47
212,Salalah,17.0151,54.0924,80.19,83,82,3.47,OM,broken clouds,2021-05-21 23:03:47
213,Chokurdakh,70.6333,147.9167,29.48,90,100,4.18,RU,overcast clouds,2021-05-21 23:03:47
214,Vyshchetarasivka,47.5685,34.881,56.37,80,95,14.56,UA,overcast clouds,2021-05-21 23:03:47
215,Kupang,-10.1667,123.5833,75.78,94,20,6.91,ID,few clouds,2021-05-21 23:03:48
216,Shimoda,34.6667,138.95,67.15,86,100,16.06,JP,moderate rain,2021-05-21 23:03:48
217,Magadan,59.5667,150.8,39.31,74,19,2.26,RU,few clouds,2021-05-21 23:03:48
218,Port Elizabeth,-33.918,25.5701,55.69,67,0,13.8,ZA,clear sky,2021-05-21 22:59:46
219,Karlskrona,56.1616,15.5866,45.05,92,100,6.96,SE,overcast clouds,2021-05-21 23:03:49
220,Northam,51.0333,-4.2167,51.39,93,100,12.62,GB,light rain,2021-05-21 23:03:46
221,San Policarpo,12.1791,125.5072,81.36,79,24,2.17,PH,few clouds,2021-05-21 23:03:49
222,Bama,11.5221,13.6856,86.41,48,58,8.66,NG,broken clouds,2021-05-21 23:03:49
223,Nedryhayliv,50.834,33.8763,47.17,86,6,3.0,UA,clear sky,2021-05-21 23:03:50
224,Olinda,-8.0089,-34.8553,78.53,70,20,10.51,BR,few clouds,2021-05-21 23:03:50
225,Victoria,22.2855,114.1577,86.97,85,40,1.99,HK,scattered clouds,2021-05-21 23:01:06
226,Strezhevoy,60.7333,77.5889,49.98,92,75,8.95,RU,broken clouds,2021-05-21 23:03:50
227,Sibolga,1.7427,98.7792,76.59,89,99,3.04,ID,overcast clouds,2021-05-21 23:03:50
228,Manosque,43.8288,5.7869,59.76,95,100,3.09,FR,overcast clouds,2021-05-21 23:03:51
229,Mount Isa,-20.7333,139.5,69.57,40,75,3.44,AU,broken clouds,2021-05-21 23:00:54
230,Asau,46.4333,26.4,50.76,91,73,5.19,RO,broken clouds,2021-05-21 23:03:51
231,Ponta Do Sol,32.6667,-17.1,66.83,72,4,8.1,PT,clear sky,2021-05-21 23:03:51
232,Ryotsu,38.0833,138.4333,63.19,79,61,18.05,JP,broken clouds,2021-05-21 23:03:52
233,Pimentel,-6.8367,-79.9342,68.29,84,90,3.0,PE,overcast clouds,2021-05-21 23:03:52
234,Dingolfing,48.6333,12.5,51.12,94,100,12.77,DE,moderate rain,2021-05-21 23:03:52
235,Poum,-20.2333,164.0167,74.12,69,38,19.37,NC,scattered clouds,2021-05-21 23:03:52
236,Praia Da Vitoria,38.7333,-27.0667,59.76,68,100,14.45,PT,overcast clouds,2021-05-21 23:03:53
237,Shaowu,27.3409,117.4831,73.02,99,99,1.32,CN,moderate rain,2021-05-21 23:03:53
238,Trat,12.5,102.5,76.21,95,77,4.09,TH,broken clouds,2021-05-21 23:03:53
239,San Jose,37.3394,-121.895,73.31,31,1,4.0,US,clear sky,2021-05-21 22:59:35
240,Tilichiki,60.4667,166.1,31.41,88,100,7.52,RU,overcast clouds,2021-05-21 23:03:54
241,Port Hardy,50.6996,-127.4199,55.08,70,96,14.27,CA,overcast clouds,2021-05-21 23:00:12
242,Bayangol,50.6977,103.4656,32.92,60,100,8.55,RU,overcast clouds,2021-05-21 23:03:54
243,Luba,3.4568,8.5547,80.02,86,73,7.54,GQ,light rain,2021-05-21 23:03:54
244,Mayo,38.8876,-76.5119,84.15,62,1,5.64,US,clear sky,2021-05-21 23:03:54
245,Nha Trang,12.25,109.1833,80.6,78,94,6.02,VN,overcast clouds,2021-05-21 23:03:55
246,Coquimbo,-29.9533,-71.3436,59.41,75,24,10.49,CL,few clouds,2021-05-21 23:00:07
247,Katsuura,35.1333,140.3,67.1,91,100,24.58,JP,heavy intensity rain,2021-05-21 23:00:59
248,Kenai,60.5544,-151.2583,53.65,50,90,10.36,US,overcast clouds,2021-05-21 23:03:55
249,Charters Towers,-20.1,146.2667,67.93,65,17,11.54,AU,few clouds,2021-05-21 23:02:15
250,Aklavik,68.2191,-135.0107,61.14,37,20,9.78,CA,few clouds,2021-05-21 23:03:55
251,Murray Bridge,-35.1167,139.2667,65.32,40,10,8.37,AU,clear sky,2021-05-21 23:03:56
252,Hovd,48.0056,91.6419,33.04,47,27,5.91,MN,scattered clouds,2021-05-21 23:03:56
253,Hambantota,6.1241,81.1185,80.29,85,94,14.45,LK,overcast clouds,2021-05-21 23:03:56
